content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
good,google_play,5,2026-02-17 14:35:05,positive,0.4404,Other,0.0
nice,google_play,3,2026-02-23 14:35:05,positive,0.4215,Other,0.0
whatsapp is very important to us,google_play,5,2026-02-22 14:35:03,positive,0.2716,Other,0.0
Happy,google_play,5,2026-02-21 14:35:02,positive,0.5719,Other,0.0
😊,google_play,5,2026-02-20 14:35:01,neutral,0.0,Other,0.0
thank you,google_play,5,2026-02-19 14:35:00,positive,0.3612,Other,0.0
Best,google_play,5,2026-02-18 14:34:46,positive,0.6369,Other,0.0
good conversation with other countries,google_play,5,2026-02-17 14:34:36,positive,0.4404,Other,0.0
good 👍,google_play,5,2026-02-23 14:34:04,positive,0.4404,Other,0.0
lovely,google_play,5,2026-02-22 14:34:01,positive,0.5859,Other,0.0
voice not clear,google_play,4,2026-02-21 14:33:50,negative,-0.2924,Other,2805.05
It's great,google_play,5,2026-02-20 14:33:36,positive,0.6249,Other,0.0
this app is so special,google_play,5,2026-02-19 14:33:23,positive,0.541,Other,0.0
excellent,google_play,5,2026-02-18 14:33:21,positive,0.5719,Other,0.0
get off,google_play,5,2026-02-17 14:33:17,neutral,0.0,Other,0.0
super,google_play,5,2026-02-23 14:33:13,positive,0.5994,Other,0.0
Very good,google_play,5,2026-02-22 14:33:13,positive,0.4927,Other,0.0
good,google_play,5,2026-02-21 14:33:11,positive,0.4404,Other,0.0
good 👍,google_play,3,2026-02-20 14:33:10,positive,0.4404,Other,0.0
goated to ragebait people,google_play,5,2026-02-19 14:33:03,neutral,0.0,Other,0.0
openfree,google_play,5,2026-02-18 14:33:02,neutral,0.0,Other,0.0
💗,google_play,5,2026-02-17 14:32:58,neutral,0.0,Other,0.0
Its a good app. Through it I‘ve been able to connect with my far away friends who seemed lost. It has also helped me with academic work because my classmates send me notes and books via whapp.,google_play,5,2026-02-23 14:32:40,positive,0.5719,Other,0.0
this is amazing,google_play,5,2026-02-22 14:32:38,positive,0.5859,Other,0.0
good,google_play,5,2026-02-21 14:32:32,positive,0.4404,Other,0.0
it's so so efficient,google_play,5,2026-02-20 14:32:28,positive,0.6078,Other,0.0
Best Communication application,google_play,5,2026-02-19 14:32:28,positive,0.6369,Other,0.0
best,google_play,5,2026-02-18 14:32:21,positive,0.6369,Other,0.0
super,google_play,5,2026-02-17 14:32:01,positive,0.5994,Other,0.0
Awsume,google_play,5,2026-02-23 14:31:57,neutral,0.0,Other,0.0
superb,google_play,5,2026-02-22 14:31:46,positive,0.6249,Other,0.0
"its absolutely brilliant, keeps me in touch with my family and friends, and pictures , best app ever .",google_play,5,2026-02-21 14:31:22,positive,0.908,Other,0.0
perfect 🥰 💞,google_play,5,2026-02-20 14:31:14,positive,0.5719,Other,0.0
very nice,google_play,5,2026-02-19 14:31:10,positive,0.4754,Other,0.0
Good app,google_play,5,2026-02-18 14:31:05,positive,0.4404,Other,0.0
best ni hai humri any Vali naslo ka leye tabahie hai,google_play,5,2026-02-17 14:31:00,positive,0.6369,Other,0.0
very useful and helpful,google_play,5,2026-02-23 14:30:55,positive,0.7397,Other,0.0
v. v good👍,google_play,5,2026-02-22 14:30:45,neutral,0.0,Other,0.0
excellent,google_play,5,2026-02-21 14:30:43,positive,0.5719,Other,0.0
